Emma	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/emma/
Persuasion	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/persuasion/
Wuthering Heights	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/wuthering/
Mansfield Park	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/mansfieldpark/
Middlemarch	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/middlemarch/
Ivanhoe	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/ivanhoe/
David Copperfield	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/copperfield/
Sister Carrie	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/sistercarrie/
Kidnapped	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/kidnapped/
Dr. Jekyll and Mr. Hyde	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/jekyll/
The Turn of the Screw	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/screw/
Candide	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/candide/
Paradise Lost	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/poetry/paradiselost/
Northanger Abbey	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/northangerabbey/
My Antonia	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/antonia/
Hamlet	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/hamlet/
Othello	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/othello/
A Room with a View	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/room/
Coriolanus	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/coriolanus/
Looking Backward	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/lookingbackward/
Heart of Darkness	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/heart-of-darkness/
The Power and the Glory	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/powerglory/
The Return of the Native	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/returnofnative/
Howards End	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/howardsend/
Typee	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/typee/
Anne of Green Gables	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/anneofgreengables/
Regeneration	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/regeneration/
Maggie: A Girl of the Streets	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/maggie/
The Good Soldier	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/goodsoldier/
The Red Badge of Courage	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/redbadge/
The New Testament	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/newtestament/
O Pioneers!	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/opioneers/
Henry VIII	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/henryviii/
The Time Machine	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/lit/timemachine/
Henry IV Part 2	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/henry4pt2/
Macbeth	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/macbeth/
Troilus and Cressida	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/troilus/
Richard II	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/richardii/
Henry IV Part 1	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/henry4pt1/
King John	https://web.archive.org/web/20210223161114/https://www.sparknotes.com/shakespeare/kingjohn/
